Airline,Aircraft,FlightDuration,TravelMonth,IsInternational,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceEconomy,PricePremium,PriceRelative,SeatsTotal,FractionPremiumSeats,PitchDifference,WidthDifference
AirFrance,Boeing,6.91,Sep,International,216,24,32,38,17,19,648,1710,1.64,240,0.1,6,2
AirFrance,Boeing,6.91,Oct,International,216,24,32,38,17,19,648,1710,1.64,240,0.1,6,2
AirFrance,AirBus,9.5,Oct,International,147,21,32,38,18,19,630,1611,1.56,168,0.13,6,1
AirFrance,Boeing,6.91,Aug,International,216,24,32,38,17,19,700,1710,1.44,240,0.1,6,2
AirFrance,AirBus,9.5,Sep,International,147,21,32,38,18,19,743,1611,1.17,168,0.13,6,1
AirFrance,AirBus,13,Sep,International,389,38,32,38,18,19,1522,3289,1.16,427,0.09,6,1
AirFrance,AirBus,13,Oct,International,389,38,32,38,18,19,1522,3289,1.16,427,0.09,6,1
AirFrance,AirBus,9.5,Aug,International,147,21,32,38,18,19,990,1611,0.63,168,0.13,6,1
AirFrance,Boeing,6.91,Jul,International,216,24,32,38,17,19,1094,1710,0.56,240,0.1,6,2
AirFrance,Boeing,8.33,Aug,International,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6,2
AirFrance,Boeing,8.33,Sep,International,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6,2
AirFrance,Boeing,8.33,Oct,International,200,28,32,38,17,19,2918,3972,0.36,228,0.12,6,2
AirFrance,AirBus,8.33,Jul,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Aug,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Sep,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Oct,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Jul,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Aug,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Sep,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,8.33,Oct,International,147,21,32,38,18,19,2659,2859,0.08,168,0.13,6,1
AirFrance,AirBus,7.33,Aug,International,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6,1
AirFrance,AirBus,7.33,Sep,International,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6,1
AirFrance,AirBus,7.33,Oct,International,147,21,32,38,18,19,2607,2807,0.08,168,0.13,6,1
AirFrance,AirBus,7.5,Aug,International,389,38,32,38,18,19,2581,2781,0.08,427,0.09,6,1
AirFrance,AirBus,7.5,Sep,International,389,38,32,38,18,19,2581,2781,0.08,427,0.09,6,1
AirFrance,Boeing,7.5,Oct,International,200,28,32,38,17,19,2581,2781,0.08,228,0.12,6,2
AirFrance,AirBus,6.83,Sep,International,147,21,32,38,18,19,2860,3063,0.07,168,0.13,6,1
AirFrance,AirBus,6.83,Oct,International,147,21,32,38,18,19,2860,3063,0.07,168,0.13,6,1
AirFrance,Boeing,6.83,Aug,International,200,28,32,38,17,19,2860,3063,0.07,228,0.12,6,2
AirFrance,Boeing,8.75,Jul,International,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6,2
AirFrance,Boeing,8.75,Aug,International,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6,2
AirFrance,Boeing,8.75,Sep,International,200,28,32,38,17,19,3026,3226,0.07,228,0.12,6,2
AirFrance,Boeing,10.66,Aug,International,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6,1
AirFrance,Boeing,10.66,Sep,International,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6,1
AirFrance,Boeing,10.66,Oct,International,389,38,32,38,18,19,2996,3196,0.07,427,0.09,6,1
AirFrance,AirBus,8.91,Aug,International,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6,1
AirFrance,AirBus,8.91,Sep,International,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6,1
AirFrance,AirBus,8.91,Oct,International,147,21,32,38,18,19,2609,2787,0.07,168,0.13,6,1
AirFrance,Boeing,7.66,Aug,International,200,28,32,38,17,19,3057,3167,0.04,228,0.12,6,2
AirFrance,Boeing,6.83,Sep,International,200,28,32,38,17,19,3057,3167,0.04,228,0.12,6,2
AirFrance,Boeing,6.83,Oct,International,200,28,32,38,17,19,3057,3167,0.04,228,0.12,6,2
AirFrance,AirBus,8.41,Jul,International,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6,1
AirFrance,AirBus,8.5,Aug,International,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6,1
AirFrance,AirBus,8.5,Sep,International,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6,1
AirFrance,Boeing,8.5,Oct,International,389,38,32,38,18,19,2979,3088,0.04,427,0.09,6,1
AirFrance,AirBus,8.08,Sep,International,147,21,32,38,18,19,2813,2922,0.04,168,0.13,6,1
AirFrance,Boeing,9.5,Jul,International,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6,2
AirFrance,Boeing,9.5,Aug,International,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6,2
AirFrance,Boeing,9.5,Sep,International,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6,2
AirFrance,Boeing,9.5,Oct,International,200,28,32,38,17,19,3414,3524,0.03,228,0.12,6,2
AirFrance,Boeing,7.75,Jul,International,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6,2
AirFrance,Boeing,7.75,Aug,International,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6,2
AirFrance,Boeing,7.75,Sep,International,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6,2
AirFrance,Boeing,7.83,Oct,International,174,24,32,38,17,19,3215,3325,0.03,198,0.12,6,2
AirFrance,AirBus,9.18,Jul,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,AirBus,9.18,Aug,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,AirBus,9.25,Sep,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,AirBus,9.25,Oct,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,AirBus,9.16,Jul,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,AirBus,9.16,Aug,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,AirBus,9.25,Sep,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,AirBus,9.25,Oct,International,147,21,32,38,18,19,3165,3275,0.03,168,0.13,6,1
AirFrance,Boeing,9.41,Aug,International,200,28,32,38,17,19,3480,3589,0.03,228,0.12,6,2
AirFrance,Boeing,9.41,Sep,International,200,28,32,38,17,19,3480,3589,0.03,228,0.12,6,2
AirFrance,Boeing,9.41,Oct,International,200,28,32,38,17,19,3480,3589,0.03,228,0.12,6,2
AirFrance,Boeing,11.75,Jul,International,174,24,32,38,17,19,3593,3702,0.03,198,0.12,6,2
AirFrance,Boeing,11.75,Aug,International,174,24,32,38,17,19,3593,3702,0.03,198,0.12,6,2
AirFrance,Boeing,11.5,Sep,International,389,38,32,38,18,19,3593,3702,0.03,427,0.09,6,1
AirFrance,Boeing,11.5,Oct,International,389,38,32,38,18,19,3593,3702,0.03,427,0.09,6,1
AirFrance,Boeing,11.91,Jul,International,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6,2
AirFrance,Boeing,11.91,Aug,International,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6,2
AirFrance,Boeing,11.91,Sep,International,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6,2
AirFrance,Boeing,11.91,Oct,International,200,28,32,38,17,19,3159,3243,0.03,228,0.12,6,2
AirFrance,AirBus,13,Jul,International,389,38,32,38,18,19,3220,3289,0.02,427,0.09,6,1
British,Boeing,13.83,Aug,International,203,24,31,38,18,19,3102,7414,1.39,227,0.11,7,1
British,Boeing,13.83,Sep,International,203,24,31,38,18,19,3102,7414,1.39,227,0.11,7,1
British,Boeing,13.83,Oct,International,203,24,31,38,18,19,3102,7414,1.39,227,0.11,7,1
British,Boeing,12.25,Jul,International,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7,1
British,Boeing,12.25,Aug,International,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7,1
British,Boeing,12.25,Sep,International,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7,1
British,Boeing,12.25,Oct,International,122,40,31,38,18,19,2707,3725,0.38,162,0.25,7,1
British,AirBus,11.16,Jul,International,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7,1
British,AirBus,11.16,Aug,International,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7,1
British,AirBus,11.16,Sep,International,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7,1
British,AirBus,11.16,Oct,International,303,55,31,38,18,19,2384,3563,0.49,358,0.15,7,1
British,AirBus,10.5,Jul,International,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7,1
British,AirBus,10.5,Aug,International,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7,1
British,AirBus,10.5,Sep,International,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7,1
British,AirBus,10.5,Oct,International,303,55,31,38,18,19,1848,3536,0.91,358,0.15,7,1
British,Boeing,10.41,Aug,International,243,36,31,38,18,19,1651,3509,1.13,279,0.13,7,1
British,Boeing,10.41,Oct,International,243,36,31,38,18,19,1651,3509,1.13,279,0.13,7,1
British,Boeing,10.41,Sep,International,243,36,31,38,18,19,2775,3509,0.26,279,0.13,7,1
British,Boeing,11,Aug,International,243,36,31,38,18,19,2230,3227,0.45,279,0.13,7,1
British,Boeing,11,Sep,International,243,36,31,38,18,19,2230,3227,0.45,279,0.13,7,1
British,Boeing,11,Oct,International,243,36,31,38,18,19,2230,3227,0.45,279,0.13,7,1
British,Boeing,9.91,Jul,International,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7,1
British,Boeing,9.91,Aug,International,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7,1
British,Boeing,9.91,Sep,International,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7,1
British,Boeing,9.91,Oct,International,243,36,31,38,18,19,2356,3200,0.36,279,0.13,7,1
British,Boeing,8.58,Aug,International,243,36,31,38,18,19,1562,3099,0.98,279,0.13,7,1
British,Boeing,8.58,Sep,International,243,36,31,38,18,19,1562,3099,0.98,279,0.13,7,1
British,Boeing,8.58,Oct,International,243,36,31,38,18,19,1562,3099,0.98,279,0.13,7,1
British,Boeing,11.41,Jul,International,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7,1
British,Boeing,11.41,Aug,International,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7,1
British,Boeing,11.41,Sep,International,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7,1
British,Boeing,11.41,Oct,International,243,36,31,38,18,19,2281,3025,0.33,279,0.13,7,1
British,Boeing,8.16,Aug,International,122,40,31,38,18,19,1793,2999,0.67,162,0.25,7,1
British,Boeing,8.16,Sep,International,122,40,31,38,18,19,1793,2999,0.67,162,0.25,7,1
British,Boeing,8.16,Oct,International,122,40,31,38,18,19,1793,2999,0.67,162,0.25,7,1
British,Boeing,6.5,Aug,International,122,40,31,38,18,19,1476,2997,1.03,162,0.25,7,1
British,Boeing,6.5,Sep,International,122,40,31,38,18,19,1476,2997,1.03,162,0.25,7,1
British,Boeing,6.5,Oct,International,127,39,31,38,18,19,1476,2997,1.03,166,0.23,7,1
British,Boeing,11.5,Sep,International,122,40,31,38,18,19,1705,2989,0.75,162,0.25,7,1
British,Boeing,11.5,Oct,International,122,40,31,38,18,19,1705,2989,0.75,162,0.25,7,1
British,Boeing,11.5,Aug,International,122,40,31,38,18,19,1911,2989,0.56,162,0.25,7,1
British,Boeing,11.5,Jul,International,122,40,31,38,18,19,2378,2989,0.26,162,0.25,7,1
British,Boeing,6.83,Jul,International,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7,1
British,Boeing,6.83,Aug,International,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7,1
British,Boeing,6.83,Sep,International,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7,1
British,Boeing,6.83,Oct,International,243,56,31,38,18,19,1444,2982,1.07,299,0.19,7,1
British,Boeing,11.08,Aug,International,127,39,31,38,18,19,2156,2933,0.36,166,0.23,7,1
British,Boeing,11.08,Sep,International,127,39,31,38,18,19,2156,2933,0.36,166,0.23,7,1
British,Boeing,11.08,Oct,International,127,39,31,38,18,19,2156,2933,0.36,166,0.23,7,1
British,Boeing,11.58,Aug,International,122,40,31,38,18,19,1750,2656,0.52,162,0.25,7,1
British,Boeing,11.58,Sep,International,122,40,31,38,18,19,1750,2656,0.52,162,0.25,7,1
British,Boeing,11.58,Oct,International,122,40,31,38,18,19,1750,2656,0.52,162,0.25,7,1
British,AirBus,13.08,Aug,International,303,55,31,38,18,19,1758,2592,0.47,358,0.15,7,1
British,AirBus,13.08,Sep,International,303,55,31,38,18,19,1758,2592,0.47,358,0.15,7,1
British,AirBus,13.08,Oct,International,303,55,31,38,18,19,1758,2592,0.47,358,0.15,7,1
British,Boeing,7.58,Aug,International,243,56,31,38,18,19,1824,2549,0.4,299,0.19,7,1
British,Boeing,7.58,Sep,International,243,56,31,38,18,19,1824,2549,0.4,299,0.19,7,1
British,Boeing,7.58,Oct,International,243,56,31,38,18,19,1824,2549,0.4,299,0.19,7,1
British,Boeing,7.58,Jul,International,243,56,31,38,18,19,1823,2548,0.4,299,0.19,7,1
British,Boeing,9.16,Aug,International,122,40,31,38,18,19,1813,2504,0.38,162,0.25,7,1
British,Boeing,9.16,Sep,International,122,40,31,38,18,19,1813,2504,0.38,162,0.25,7,1
British,Boeing,9.16,Oct,International,122,40,31,38,18,19,1813,2504,0.38,162,0.25,7,1
British,Boeing,9.33,Aug,International,243,36,31,38,18,19,1813,2472,0.36,279,0.13,7,1
British,Boeing,9.33,Sep,International,243,36,31,38,18,19,1813,2472,0.36,279,0.13,7,1
British,Boeing,9.33,Oct,International,243,36,31,38,18,19,1813,2472,0.36,279,0.13,7,1
British,Boeing,13.33,Aug,International,203,24,31,38,18,19,2166,2470,0.14,227,0.11,7,1
British,Boeing,13.33,Sep,International,203,24,31,38,18,19,2166,2470,0.14,227,0.11,7,1
British,Boeing,13.33,Oct,International,203,24,31,38,18,19,2166,2470,0.14,227,0.11,7,1
British,Boeing,8.91,Sep,International,243,36,31,38,18,19,1140,2423,1.13,279,0.13,7,1
British,Boeing,8.66,Aug,International,243,36,31,38,18,19,1609,2292,0.42,279,0.13,7,1
British,Boeing,8.66,Sep,International,243,36,31,38,18,19,1609,2292,0.42,279,0.13,7,1
British,Boeing,8.66,Oct,International,243,36,31,38,18,19,1609,2292,0.42,279,0.13,7,1
British,Boeing,7.25,Aug,International,243,36,31,38,18,19,1632,2278,0.4,279,0.13,7,1
British,Boeing,7.25,Sep,International,243,36,31,38,18,19,1632,2278,0.4,279,0.13,7,1
British,Boeing,7.25,Oct,International,243,36,31,38,18,19,1632,2278,0.4,279,0.13,7,1
British,Boeing,6.08,Aug,International,127,39,31,38,18,19,1634,2195,0.34,166,0.23,7,1
British,Boeing,6.08,Sep,International,127,39,31,38,18,19,1634,2195,0.34,166,0.23,7,1
British,Boeing,6.08,Oct,International,127,39,31,38,18,19,1634,2195,0.34,166,0.23,7,1
British,Boeing,6.75,Aug,International,122,40,31,38,18,19,1634,2195,0.34,162,0.25,7,1
British,Boeing,6.75,Sep,International,122,40,31,38,18,19,1634,2195,0.34,162,0.25,7,1
British,Boeing,6.75,Oct,International,122,40,31,38,18,19,1634,2195,0.34,162,0.25,7,1
British,Boeing,6.66,Aug,International,122,40,31,38,18,19,1651,2191,0.33,162,0.25,7,1
British,Boeing,6.66,Sep,International,122,40,31,38,18,19,1651,2191,0.33,162,0.25,7,1
British,Boeing,6.66,Oct,International,122,40,31,38,18,19,1651,2191,0.33,162,0.25,7,1
British,Boeing,8.75,Aug,International,122,40,31,38,18,19,1542,2084,0.35,162,0.25,7,1
British,Boeing,8.75,Sep,International,122,40,31,38,18,19,1566,2084,0.33,162,0.25,7,1
British,Boeing,8.75,Oct,International,122,40,31,38,18,19,1566,2084,0.33,162,0.25,7,1
British,Boeing,8.91,Aug,International,243,36,31,38,18,19,1140,2049,0.8,279,0.13,7,1
British,Boeing,7.08,Aug,International,243,36,31,38,18,19,1736,1866,0.07,279,0.13,7,1
British,Boeing,7.08,Sep,International,243,36,31,38,18,19,1736,1866,0.07,279,0.13,7,1
British,Boeing,7.08,Oct,International,243,36,31,38,18,19,1736,1866,0.07,279,0.13,7,1
British,Boeing,4.91,Aug,International,122,40,31,38,18,19,1356,1820,0.34,162,0.25,7,1
British,Boeing,4.91,Sep,International,122,40,31,38,18,19,1356,1820,0.34,162,0.25,7,1
British,Boeing,4.91,Oct,International,122,40,31,38,18,19,1356,1820,0.34,162,0.25,7,1
British,Boeing,11.41,Aug,International,243,36,31,38,18,19,846,1784,1.11,279,0.13,7,1
British,Boeing,11.41,Oct,International,243,36,31,38,18,19,846,1784,1.11,279,0.13,7,1
British,Boeing,11.41,Jul,International,243,36,31,38,18,19,937,1784,0.91,279,0.13,7,1
British,Boeing,11.41,Sep,International,243,36,31,38,18,19,1485,1784,0.2,279,0.13,7,1
British,Boeing,3.83,Jul,International,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7,1
British,Boeing,3.83,Aug,International,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7,1
British,Boeing,3.83,Sep,International,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7,1
British,Boeing,3.83,Oct,International,122,40,31,38,18,19,1242,1764,0.42,162,0.25,7,1
British,AirBus,11.16,Sep,International,303,55,31,38,18,19,719,1634,1.27,358,0.15,7,1
British,AirBus,11.16,Oct,International,303,55,31,38,18,19,719,1634,1.27,358,0.15,7,1
British,AirBus,11.16,Aug,International,303,55,31,38,18,19,1198,1634,0.36,358,0.15,7,1
British,Boeing,8.91,Oct,International,243,36,31,38,18,19,891,1603,0.8,279,0.13,7,1
British,Boeing,11.08,Jul,International,243,36,31,38,18,19,1323,1550,0.17,279,0.13,7,1
British,Boeing,13.5,Aug,International,122,40,31,38,18,19,940,1548,0.65,162,0.25,7,1
British,Boeing,13.5,Sep,International,122,40,31,38,18,19,940,1548,0.65,162,0.25,7,1
British,Boeing,13.5,Oct,International,122,40,31,38,18,19,940,1548,0.65,162,0.25,7,1
British,Boeing,3.83,Jul,International,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7,1
British,Boeing,3.83,Aug,International,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7,1
British,Boeing,3.83,Sep,International,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7,1
British,Boeing,3.83,Oct,International,122,40,31,38,18,19,1224,1512,0.24,162,0.25,7,1
British,Boeing,5.41,Aug,International,122,40,31,38,18,19,1127,1317,0.17,162,0.25,7,1
British,Boeing,5.41,Sep,International,122,40,31,38,18,19,1127,1317,0.17,162,0.25,7,1
British,Boeing,5.41,Oct,International,122,40,31,38,18,19,1127,1317,0.17,162,0.25,7,1
British,Boeing,12.5,Aug,International,127,39,31,38,18,19,1038,1259,0.21,166,0.23,7,1
British,Boeing,12.05,Sep,International,127,39,31,38,18,19,1038,1259,0.21,166,0.23,7,1
British,Boeing,8.25,Aug,International,122,40,31,38,18,19,1123,1213,0.08,162,0.25,7,1
British,Boeing,8.25,Sep,International,122,40,31,38,18,19,1123,1213,0.08,162,0.25,7,1
British,Boeing,8.25,Oct,International,122,40,31,38,18,19,1123,1213,0.08,162,0.25,7,1
British,Boeing,11.08,Aug,International,243,36,31,38,18,19,1023,1199,0.17,279,0.13,7,1
British,Boeing,11.08,Sep,International,243,36,31,38,18,19,1023,1199,0.17,279,0.13,7,1
British,Boeing,8.91,Aug,International,203,24,31,38,18,19,649,1152,0.77,227,0.11,7,1
British,Boeing,7.08,Sep,International,243,36,31,38,18,19,757,912,0.21,279,0.13,7,1
British,Boeing,8.91,Sep,International,203,24,31,38,18,19,575,853,0.48,227,0.11,7,1
British,Boeing,8.91,Oct,International,203,24,31,38,18,19,575,853,0.48,227,0.11,7,1
British,Boeing,11.08,Oct,International,243,36,31,38,18,19,533,837,0.57,279,0.13,7,1
British,Boeing,9.58,Aug,International,203,24,31,38,18,19,797,826,0.04,227,0.11,7,1
British,Boeing,12.5,Oct,International,127,39,31,38,18,19,509,818,0.61,166,0.23,7,1
British,Boeing,9.58,Oct,International,203,24,31,38,18,19,524,797,0.52,227,0.11,7,1
British,Boeing,9.58,Sep,International,203,24,31,38,18,19,582,797,0.37,227,0.11,7,1
British,Boeing,12.75,Aug,International,122,40,31,38,18,19,509,773,0.52,162,0.25,7,1
British,Boeing,12.75,Sep,International,122,40,31,38,18,19,509,773,0.52,162,0.25,7,1
British,Boeing,12.75,Oct,International,122,40,31,38,18,19,509,773,0.52,162,0.25,7,1
British,AirBus,4.08,Sep,International,303,55,31,38,18,19,457,486,0.06,358,0.15,7,1
British,AirBus,3.58,Aug,International,303,55,31,38,18,19,402,442,0.1,358,0.15,7,1
British,AirBus,3.58,Sep,International,303,55,31,38,18,19,402,442,0.1,358,0.15,7,1
British,AirBus,2.41,Jul,International,303,55,31,38,18,19,392,407,0.04,358,0.15,7,1
British,AirBus,3.25,Aug,International,303,55,31,38,18,19,356,396,0.11,358,0.15,7,1
British,AirBus,3.25,Sep,International,303,55,31,38,18,19,356,396,0.11,358,0.15,7,1
British,AirBus,3.58,Aug,International,303,55,31,38,18,19,322,348,0.08,358,0.15,7,1
British,AirBus,2.66,Oct,International,303,55,31,38,18,19,297,323,0.09,358,0.15,7,1
British,AirBus,2.41,Aug,International,303,55,31,38,18,19,303,319,0.05,358,0.15,7,1
British,AirBus,2.41,Sep,International,303,55,31,38,18,19,303,319,0.05,358,0.15,7,1
British,AirBus,2.41,Aug,International,303,55,31,38,18,19,276,306,0.11,358,0.15,7,1
British,AirBus,3.25,Oct,International,303,55,31,38,18,19,249,285,0.14,358,0.15,7,1
British,AirBus,1.83,Jul,International,303,55,31,38,18,19,238,278,0.17,358,0.15,7,1
